Day/Month/Year,BusStop,Pasengers
พุธที่ 1 มิถุนายน 2565,ETC office ,666
พุธที่ 1 มิถุนายน 2565,Building A Gate 6,78
พฤหัสบดีที่ 2 มิถุนายน 2565,7-Eleven Stop,805
พฤหัสบดีที่ 2 มิถุนายน 2565,ETC office ,704
พฤหัสบดีที่ 2 มิถุนายน 2565,Building A Gate 6,150
จันทร์ที่ 6 มิ.ย. 2565,7-Eleven Stop,745
จันทร์ที่ 6 มิ.ย. 2565,ETC office ,651
จันทร์ที่ 6 มิ.ย. 2565,Building A Gate 6,101
อังคารที่ 7 มิ.ย. 2565,7-Eleven Stop,844
อังคารที่ 7 มิ.ย. 2565,ETC office ,686
อังคารที่ 7 มิ.ย. 2565,Building A Gate 6,87
พุธที่ 8 มิถุนายน 2565,7-Eleven Stop,886
พุธที่ 8 มิถุนายน 2565,ETC office ,648
พุธที่ 8 มิถุนายน 2565,Building A Gate 6,146
พฤหัสบดีที่ 9 มิถุนายน 2565,7-Eleven Stop,714
พฤหัสบดีที่ 9 มิถุนายน 2565,ETC office ,692
พฤหัสบดีที่ 9 มิถุนายน 2565,Building A Gate 6,106
ศุกร์ที่ 10 มิ.ย. 2565,7-Eleven Stop,890
ศุกร์ที่ 10 มิ.ย. 2565,ETC office ,730
ศุกร์ที่ 10 มิ.ย. 2565,Building A Gate 6,109
จันทร์ที่ 13 มิ.ย. 2565,7-Eleven Stop,858
จันทร์ที่ 13 มิ.ย. 2565,ETC office ,689
จันทร์ที่ 13 มิ.ย. 2565,Building A Gate 6,105
อังคารที่ 14 มิ.ย. 2565,7-Eleven Stop,949
อังคารที่ 14 มิ.ย. 2565,ETC office ,760
อังคารที่ 14 มิ.ย. 2565,Building A Gate 6,157
พุธที่ 15 มิ.ย 2565,7-Eleven Stop,933
พุธที่ 15 มิ.ย 2565,ETC office ,820
พุธที่ 15 มิ.ย 2565,Building A Gate 6,163
พฤหัสบดีที่ 16 มิ.ย. 2565,7-Eleven Stop,878
พฤหัสบดีที่ 16 มิ.ย. 2565,ETC office ,772
พฤหัสบดีที่ 16 มิ.ย. 2565,Building A Gate 6,209
ศุกร์ที่ 17 มิ.ย. 2565,7-Eleven Stop,864
ศุกร์ที่ 17 มิ.ย. 2565,ETC office ,687
ศุกร์ที่ 17 มิ.ย. 2565,Building A Gate 6,244
จันทร์ที่ 20 มิ.ย. 2565,7-Eleven Stop,846
จันทร์ที่ 20 มิ.ย. 2565,ETC office ,670
จันทร์ที่ 20 มิ.ย. 2565,Building A Gate 6,76
อังคารที่ 21 มิ.ย. 2565,7-Eleven Stop,900
อังคารที่ 21 มิ.ย. 2565,ETC office ,692
อังคารที่ 21 มิ.ย. 2565,Building A Gate 6,81
พุธที่ 22 มิ.ย. 2565,7-Eleven Stop,908
พุธที่ 22 มิ.ย. 2565,ETC office ,741
พุธที่ 22 มิ.ย. 2565,Building A Gate 6,110
พฤหัสบดีที่ 23 มิ.ย. 2565,7-Eleven Stop,820
พฤหัสบดีที่ 23 มิ.ย. 2565,ETC office ,672
พฤหัสบดีที่ 23 มิ.ย. 2565,Building A Gate 6,88
ศุกร์ที่ 24 มิ.ย. 2565,7-Eleven Stop,841
ศุกร์ที่ 24 มิ.ย. 2565,ETC office ,699
ศุกร์ที่ 24 มิ.ย. 2565,Building A Gate 6,106
จันทร์ที่ 27 มิ.ย. 2565,7-Eleven Stop,822
จันทร์ที่ 27 มิ.ย. 2565,ETC office ,635
จันทร์ที่ 27 มิ.ย. 2565,Building A Gate 6,66
อังคารที่ 28 มิ.ย. 2565,7-Eleven Stop,834
อังคารที่ 28 มิ.ย. 2565,ETC office ,720
อังคารที่ 28 มิ.ย. 2565,Building A Gate 6,110
พุธที่ 29 มิ.ย. 2565,7-Eleven Stop,846
พุธที่ 29 มิ.ย. 2565,ETC office ,710
พุธที่ 29 มิ.ย. 2565,Building A Gate 6,108
พฤหัสบดีที่ 30 มิ.ย. 2565,7-Eleven Stop,813
พฤหัสบดีที่ 30 มิ.ย. 2565,ETC office ,726
พฤหัสบดีที่ 30 มิ.ย. 2565,Building A Gate 6,105
ศุกร์ที่ 1 กรกฎาคม 2565,7-Eleven Stop,902
ศุกร์ที่ 1 กรกฎาคม 2565,ETC office ,724
ศุกร์ที่ 1 กรกฎาคม 2565,Building A Gate 6,120
จันทร์ที่ 4 กรกฎาคม 2565,7-Eleven Stop,803
จันทร์ที่ 4 กรกฎาคม 2565,ETC office ,708
จันทร์ที่ 4 กรกฎาคม 2565,Building A Gate 6,139
อังคารที่ 5 กรกฎาคม 2565,7-Eleven Stop,957
อังคารที่ 5 กรกฎาคม 2565,ETC office ,746
อังคารที่ 5 กรกฎาคม 2565,Building A Gate 6,120
พุธที่ 6 กรกฎาคม 2565,7-Eleven Stop,905
พุธที่ 6 กรกฎาคม 2565,ETC office ,757
พุธที่ 6 กรกฎาคม 2565,Building A Gate 6,120
พฤหัสบดีที่ 7 กรกฎาคม 2565,7-Eleven Stop,901
พฤหัสบดีที่ 7 กรกฎาคม 2565,ETC office ,719
พฤหัสบดีที่ 7 กรกฎาคม 2565,Building A Gate 6,138
ศุกร์ที่ 8 กรกฎาคม 2565,7-Eleven Stop,792
ศุกร์ที่ 8 กรกฎาคม 2565,ETC office ,748
ศุกร์ที่ 8 กรกฎาคม 2565,Building A Gate 6,146
จันทร์ที่ 11 กรกฎาคม 2565,7-Eleven Stop,764
